Zeitstempel,Einwilligungserklärung,Geschlecht,Alter,Machst du dir aufgrund des Klimawandels Sorgen?,Willst du etwas zur Energiewende und Klimaschutz beitragen?,"Glaubst du, der Klimawandel hat direkte Auswirkungen auf die Lebensqualität in Städten?",Interessierst du dich für Ökostrom?,Was braucht mehr Strom? (in Watt),Wie viel Energie steckt in 1L Benzin?,Hast du bereits Erfahrung mit Virtual Reality?,Wie bist du mit der VR-Umgebung zurechtgekommen?,Wie realistisch fandest du die VR-Simulation?,"Hat dir die VR-Erfahrung geholfen zu verstehen, wie eine Photovoltaik Anlage genutzt werden kann?","Hat dir die VR-Erfahrung geholfen, die Vorteile einer Photovoltaik Anlage zu verstehen?",In welcher Ausrichtung erzeugt ein einzelnes Panel im Juni den meisten Strom?,In welcher Ausrichtung erzeugt ein einzelnes Panel im Dezember den meisten Strom?,In welcher Ausrichtung erzeugt ein einzelnes Panel übers Jahr den meisten Strom?,"Nach dem Testen der VR Simulation, würdest du jetzt eher eine PV Anlage auf deinem Dach installieren lassen?","Hat die VR-Erfahrung dich inspiriert, dich selbst an der Klimaaktion zu beteiligen?",Was hat dir an dem VR-Erlebnis am besten gefallen?,Was hat dir an dem VR-Erlebnis am wenigsten gefallen?,"Hast du irgendwelche Vorschläge, wie das VR-Erlebnis verbessert werden könnte? "
26.02.2024 15:21:50,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,15,4,5,3,4,Föhn,10 kWh,1,5,4,5,4,Schräg nach Süden,Flach,Schräg nach Süden,4,3,"dass man so viel einstellen konnte (Monate, Uhrzeit,..)",KI-Assistent ging leider nicht,"Assistent verbessern, vielleicht die Nacht etwas heller darstellen"
26.02.2024 15:34:44,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,16,4,4,4,3,Fernseher,10 kWh,3,5,5,5,5,Flach,Schräg nach Süden,Flach,4,4,dass des so real war,gibt nix,na
26.02.2024 15:39:31,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,15,5,4,3,3,Fernseher,10 kWh,3,4,3,5,5,Schräg Ost-West,Schräg Ost-West,Flach,2,2,Daten am Dach,Brille verrutscht :/,"Verschiedene Plätze (Städte, Park, Länder, Wälder...), andere Optionen (Windräder,...)"
26.02.2024 15:41:42,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,16,4,4,3,4,Föhn,100 kWh,2,5,4,5,5,Schräg nach Süden,Schräg Ost-West,Schräg Ost-West,4,3,,,
26.02.2024 15:46:10,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,17,3,3,5,3,Föhn,100 kWh,5,5,2,4,4,Schräg nach Süden,Schräg Ost-West,Flach,2,2,,,
26.02.2024 15:46:52,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,15,2,2,2,2,Föhn,1 kWh,2,5,5,5,5,Schräg Ost-West,Schräg nach Süden,Schräg Ost-West,2,4,Laser,,
26.02.2024 15:49:39,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,15,4,3,5,3,Föhn,3 kWh,3,5,4,5,4,Schräg nach Süden,Schräg nach Süden,Flach,3,2,das selber bauen und herum gehen,wenig zu tub,mehr sachen machen
26.02.2024 16:02:05,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,19,3,4,5,2,Fernseher,10 kWh,4,4,5,5,5,Schräg Ost-West,Schräg nach Süden,Flach,4,3,"Man kann sehen, wieviele Panele notwendig sind, um so und so viel Energie zu gewinnen.",/,Schritt für Schritt erklärungen was zu tun ist.
26.02.2024 16:03:30,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,15,4,4,4,3,Fernseher,10 kWh,2,3,4,4,3,Schräg nach Süden,Schräg nach Süden,Schräg nach Süden,3,2,,,
26.02.2024 16:05:04,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,18,5,4,5,3,Föhn,10 kWh,5,5,5,5,5,Flach,Schräg Ost-West,Schräg nach Süden,4,4,Auswahlmöglichkeit der Monate wo man dann sehen kann wie sehr sich die Zahlen ändern,-,Mehr Interaktion mit der KI Person
29.02.2024 10:20:46,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,18,2,4,5,4,Föhn,10 kWh,1,4,3,3,4,Schräg nach Süden,Schräg nach Süden,Schräg Ost-West,4,3,schöne KI,,
29.02.2024 10:25:16,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,17,2,3,4,4,Föhn,10 kWh,3,4,2,4,2,Flach,Schräg nach Süden,Schräg nach Süden,1,2,,,
29.02.2024 10:35:34,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,18,2,4,5,3,Föhn,10 kWh,2,5,4,4,5,Schräg nach Süden,Flach,Schräg nach Süden,4,3,Die Realität,Garnichts,Mehr Versionen von den Panelen
29.02.2024 10:39:14,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,18,3,4,4,3,Föhn,10 kWh,1,4,3,4,5,Schräg nach Süden,Flach,Schräg nach Süden,5,4,,,
29.02.2024 10:46:27,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,17,3,4,5,3,Föhn,10 kWh,2,4,4,4,4,Flach,Flach,Flach,4,4,,,
04.03.2024 10:23:37,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,28,5,5,5,4,Fernseher,3 kWh,2,4,4,4,4,Flach,Schräg nach Süden,Schräg nach Süden,4,3,,,
05.03.2024 11:25:52,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",männlich,37,4,4,5,5,Fernseher,10 kWh,3,4,4,4,4,Flach,Schräg nach Süden,Schräg nach Süden,3,3,"Direkter Vergleich der verschiedenen Setups und Vorstellung wie das auf dem Dach aussieht. Vor allem für Einfamilienhäuser sehr interessant, wie sich das optisch auch auswirkt.",Durch die First Person View konnte man nicht das Dach aus der Vogelperspektive sehen.,
05.03.2024 12:09:02,"Ich bin damit einverstanden, an der oben beschriebenen Studie teilzunehmen.",weiblich,30,4,4,5,4,Föhn,10 kWh,5,4,3,4,4,Flach,Schräg nach Süden,Schräg Ost-West,3,3,,,
